Year;№;Team;M;W;D;L;G;GA;PTS;xG;xGA;xPTS
2018;13;Schalke 04;17;5;3;9;20;24;18;25.51+5.51;22.78-1.22;26.32+8.32
2018;14;Fortuna Duesseldorf;17;5;3;9;19;33;18;22.76+3.76;31.08-1.92;18.57+0.57
2018;15;Augsburg;17;3;6;8;25;29;15;27.28+2.28;27.55-1.45;23.15+8.15
2018;16;VfB Stuttgart;17;4;2;11;12;35;14;16.18+4.18;31.36-3.64;14.78+0.78
2018;17;Hannover 96;17;2;5;10;17;35;11;19.05+2.05;36.03+1.03;12.73+1.73
2018;18;Nuernberg;17;2;5;10;14;38;11;17.96+3.96;28.45-9.55;18.05+7.05
2017;1;Bayern Munich;17;13;2;2;37;11;41;35.44-1.56;14.83+3.83;35.81-5.19
2017;2;Schalke 04;17;8;6;3;28;21;30;24.77-3.23;20.96-0.04;26.37-3.63
2017;3;Borussia Dortmund;17;8;4;5;39;24;28;38.13-0.87;20.31-3.69;33.93+5.93
2017;4;Bayer Leverkusen;17;7;7;3;34;23;28;28.81-5.19;19.22-3.78;30.06+2.06
2017;5;RasenBallsport Leipzig;17;8;4;5;27;25;28;24.67-2.33;23.61-1.39;23.66-4.34
2017;6;Borussia M.Gladbach;17;8;4;5;27;28;28;26.27-0.73;24.57-3.43;26.29-1.71
2017;7;Hoffenheim;17;7;5;5;27;22;26;21.47-5.53;21.52-0.48;23.59-2.41
2017;8;Eintracht Frankfurt;17;7;5;5;20;18;26;18.04-1.96;18.43+0.43;22.39-3.61
2017;9;Augsburg;17;6;6;5;27;23;24;25.31-1.69;19.71-3.29;27.05+3.05
2017;10;Hertha Berlin;17;6;6;5;26;25;24;18.90-7.10;24.70-0.30;18.68-5.32
2017;11;Hannover 96;17;6;5;6;24;26;23;22.17-1.83;26.72+0.72;20.93-2.07
2017;12;Wolfsburg;17;3;10;4;21;21;19;18.30-2.70;22.47+1.47;19.79+0.79
2017;13;Freiburg;17;4;7;6;17;31;19;21.33+4.33;24.53-6.47;21.42+2.42
2017;14;VfB Stuttgart;17;5;2;10;13;21;17;18.57+5.57;20.43-0.57;21.79+4.79
2017;15;Mainz 05;17;4;5;8;19;28;17;14.71-4.29;24.41-3.59;17.57+0.57
2017;16;Werder Bremen;17;3;6;8;13;20;15;16.97+3.97;22.82+2.82;18.61+3.61
2017;17;Hamburger SV;17;4;3;10;15;25;15;16.91+1.91;25.16+0.16;19.26+4.26
2017;18;FC Cologne;17;1;3;13;10;32;6;20.32+10.32;36.69+4.69;14.40+8.40
2016;1;Bayern Munich;17;13;3;1;40;10;42;35.65-4.35;12.96+2.96;35.53-6.47
2016;2;RasenBallsport Leipzig;17;12;3;2;34;15;39;31.22-2.78;15.91+0.91;36.39-2.61
2016;3;Hoffenheim;17;7;10;0;30;17;31;30.22+0.22;22.26+5.26;28.62-2.38
2016;4;Borussia Dortmund;17;8;6;3;37;20;30;34.28-2.72;18.03-1.97;32.95+2.95
2016;5;Hertha Berlin;17;9;3;5;25;19;30;19.13-5.87;24.54+5.54;20.40-9.60
2016;6;Eintracht Frankfurt;17;8;5;4;22;15;29;19.86-2.14;18.08+3.08;25.11-3.89
2016;7;FC Cologne;17;6;8;3;21;15;26;24.79+3.79;18.76+3.76;26.15+0.15
2016;8;Bayer Leverkusen;17;7;3;7;26;25;24;26.50+0.50;21.62-3.38;26.67+2.67
2016;9;Freiburg;17;7;2;8;22;29;23;20.53-1.47;25.26-3.74;21.38-1.62
2016;10;Schalke 04;17;6;3;8;21;19;21;22.16+1.16;20.82+1.82;23.62+2.62
2016;11;Mainz 05;17;6;3;8;26;30;21;21.31-4.69;24.43-5.57;21.36+0.36
2016;12;Wolfsburg;17;5;4;8;16;24;19;20.48+4.48;25.85+1.85;20.20+1.20
2016;13;Augsburg;17;4;6;7;13;19;18;14.18+1.18;21.66+2.66;17.66-0.34
2016;14;Borussia M.Gladbach;17;4;5;8;15;25;17;21.13+6.13;20.62-4.38;22.70+5.70
2016;15;Werder Bremen;17;4;4;9;21;36;16;18.79-2.21;33.05-2.95;16.54+0.54
2016;16;Hamburger SV;17;3;4;10;14;32;13;16.54+2.54;31.58-0.42;14.31+1.31
2016;17;Ingolstadt;17;3;3;11;14;28;12;21.49+7.49;26.64-1.36;19.79+7.79
2016;18;Darmstadt;17;2;3;12;11;30;9;15.54+4.54;31.72+1.72;13.68+4.68
2015;1;Bayern Munich;17;15;1;1;46;8;46;50.50+4.50;9.53+1.53;45.56-0.44
2015;2;Borussia Dortmund;17;12;2;3;47;23;38;47.92+0.92;16.86-6.14;39.58+1.58
2015;3;Hertha Berlin;17;10;2;5;26;18;32;20.44-5.56;23.53+5.53;23.93-8.07
2015;4;Borussia M.Gladbach;17;9;2;6;34;30;29;24.69-9.31;30.99+0.99;19.58-9.42
